client_id	audio_id	audio_file	duration_ms	prompt_id	prompt	transcription	votes	age	gender	language	split	char_per_sec	quality_tags
03f7ddc40c3bc674ddd94d53dab82cca	68764	spontaneous-speech-ca-68764.mp3	51480	6590	Com creus que els horts urbans poden millorar la vida als barris?		0			Catalan			
269a55700d91cbe92d368546757ee5a3	69477	spontaneous-speech-ca-69477.mp3	19116	6590	Com creus que els horts urbans poden millorar la vida als barris?	Home, doncs crec que... tot el que sigui que la gent tingui contacte amb la natura, i tingui distraccions, més enllà d'estar enganxats a les xarxes socials em sembla una bona iniciativa.	1	fifties	male_masculine	Catalan		8.108390876752459	
03f7ddc40c3bc674ddd94d53dab82cca	68777	spontaneous-speech-ca-68777.mp3	21420	6591	Quins elements fan que un petit comerç local et resulti especialment atractiu?		0			Catalan			
7860cb263364b344e4f56921530a1847	68838	spontaneous-speech-ca-68838.mp3	20808	6591	Quins elements fan que un petit comerç local et resulti especialment atractiu?		0			Catalan			
76b9208b0b2b99d91aecd8d89817fe67	69685	spontaneous-speech-ca-69685.mp3	4356	6591	Quins elements fan que un petit comerç local et resulti especialment atractiu?	L'atenció personalitzada.	1	sixties	male_masculine	Catalan		5.5096418732782375	
e70aa9c80f3337b3efea26f3fa9098be	71188	spontaneous-speech-ca-71188.mp3	15192	6591	Quins elements fan que un petit comerç local et resulti especialment atractiu?		0			Catalan			
7860cb263364b344e4f56921530a1847	68837	spontaneous-speech-ca-68837.mp3	16668	6592	Descriu la sensació de començar una ruta en bicicleta per camins naturals.	Per una banda és la connexió amb l'entorn i amb el que trobes. Per una altra, doncs les ganes de sortir, les expectatives de què et trobaràs, afora, l'energia que tens quan encara estàs començant la ruta.	0			Catalan		10.07919366450684	
e70aa9c80f3337b3efea26f3fa9098be	71165	spontaneous-speech-ca-71165.mp3	6048	6592	Descriu la sensació de començar una ruta en bicicleta per camins naturals.		0			Catalan			
c8611cefe076da34d7f367524e7381a1	66740	spontaneous-speech-ca-66740.mp3	23220	6593	Com celebren normalment la Castanyada al teu poble o ciutat?	Als pobles ja no es fa una castanyada popular, cadascú s'ho fa a casa seva i, depèn de les famílies. Nosaltres acostumem a celebrar-la amb amics. Ens fem un soparet i després, doncs, el de sempre: les castanyes, els moniatos, panellets —que els faig jo cada any— i, ja està; és una excusa per reunir-te una miqueta amb els amics o, quan els nens eren petits doncs, amb la família també.	1			Catalan		13.608957795004308	
6a502ce04775a6469d385309c329e767	67097	spontaneous-speech-ca-67097.mp3	5652	6593	Com celebren normalment la Castanyada al teu poble o ciutat?	Amb castanyes, panellets i moscatell	1			Catalan		5.661712668082095	
7860cb263364b344e4f56921530a1847	68844	spontaneous-speech-ca-68844.mp3	17568	6593	Com celebren normalment la Castanyada al teu poble o ciutat?	Es fa un foc gran, es fan castanyes amb un... amb les coses aquestes de ferro que es fiquen les castanyes a sobre del foc i llavors es van repartint en paperines... principalment.	1			Catalan		8.367486338797814	
e70aa9c80f3337b3efea26f3fa9098be	71177	spontaneous-speech-ca-71177.mp3	8424	6593	Com celebren normalment la Castanyada al teu poble o ciutat?		0			Catalan			
6a502ce04775a6469d385309c329e767	67094	spontaneous-speech-ca-67094.mp3	5292	6594	Quins records tens de les festes majors quan eres petit/a?	Es feien en un embalat i sempre miràvem de colar-nos pel darrere.	1			Catalan		10.204081632653061	
